source,target
cube8_cluster2,cube15_cluster2
cube8_cluster2,cube16_cluster1
cube8_cluster2,cube16_cluster2
cube8_cluster2,cube17_cluster0
cube9_cluster0,cube10_cluster0
cube9_cluster0,cube16_cluster0
cube9_cluster0,cube17_cluster1
cube9_cluster1,cube10_cluster1
cube9_cluster1,cube16_cluster1
cube9_cluster1,cube17_cluster0
cube9_cluster2,cube10_cluster0
cube9_cluster2,cube10_cluster1
cube9_cluster2,cube16_cluster1
cube9_cluster2,cube16_cluster2
cube9_cluster2,cube17_cluster0
cube9_cluster2,cube17_cluster1
cube9_cluster2,cube17_cluster2
cube9_cluster2,cube18_cluster0
cube10_cluster0,cube11_cluster0
cube10_cluster0,cube18_cluster0
cube10_cluster0,cube19_cluster0
cube10_cluster1,cube11_cluster2
cube10_cluster1,cube17_cluster0
cube10_cluster1,cube18_cluster0
cube10_cluster1,cube18_cluster2
cube10_cluster1,cube19_cluster2
cube10_cluster2,cube18_cluster0
cube11_cluster0,cube18_cluster0
cube11_cluster0,cube19_cluster0
cube11_cluster1,cube19_cluster0
cube11_cluster2,cube18_cluster2
cube11_cluster2,cube19_cluster2
cube14_cluster0,cube15_cluster0
cube14_cluster0,cube15_cluster1
cube14_cluster0,cube15_cluster2
cube14_cluster1,cube15_cluster1
cube14_cluster1,cube23_cluster1
cube14_cluster1,cube24_cluster2
cube14_cluster2,cube23_cluster2
cube15_cluster0,cube16_cluster0
cube15_cluster0,cube16_cluster1
cube15_cluster0,cube24_cluster1
cube15_cluster1,cube16_cluster1
cube15_cluster1,cube16_cluster2
cube15_cluster1,cube23_cluster1
cube15_cluster1,cube24_cluster2
cube15_cluster2,cube16_cluster1
cube15_cluster2,cube16_cluster2
cube15_cluster2,cube24_cluster1
cube15_cluster2,cube24_cluster2
cube16_cluster0,cube17_cluster0
cube16_cluster0,cube17_cluster1
cube16_cluster0,cube25_cluster0
cube16_cluster0,cube25_cluster2
cube16_cluster0,cube26_cluster1
cube16_cluster1,cube17_cluster0
cube16_cluster1,cube17_cluster2
cube16_cluster1,cube25_cluster1
cube16_cluster1,cube26_cluster2
cube16_cluster2,cube17_cluster0
cube16_cluster2,cube17_cluster1
cube16_cluster2,cube17_cluster2
cube16_cluster2,cube25_cluster0
cube16_cluster2,cube25_cluster1
cube16_cluster2,cube26_cluster1
cube17_cluster0,cube18_cluster0
cube17_cluster0,cube25_cluster0
cube17_cluster0,cube25_cluster1
cube17_cluster0,cube26_cluster0
cube17_cluster0,cube26_cluster1
cube17_cluster0,cube26_cluster2
cube17_cluster0,cube27_cluster0
cube17_cluster1,cube18_cluster0
cube17_cluster1,cube25_cluster2
cube17_cluster1,cube26_cluster1
cube17_cluster1,cube27_cluster0
cube17_cluster1,cube27_cluster1
cube17_cluster2,cube18_cluster0
cube17_cluster2,cube18_cluster1
cube17_cluster2,cube18_cluster2
cube17_cluster2,cube25_cluster1
cube17_cluster2,cube26_cluster1
cube17_cluster2,cube26_cluster2
cube17_cluster2,cube27_cluster1
cube18_cluster0,cube19_cluster0
cube18_cluster0,cube26_cluster1
cube18_cluster0,cube26_cluster2
cube18_cluster0,cube27_cluster0
cube18_cluster0,cube27_cluster1
cube18_cluster1,cube26_cluster2
cube18_cluster1,cube27_cluster1
cube18_cluster2,cube19_cluster2
cube18_cluster2,cube26_cluster2
cube18_cluster2,cube27_cluster1
cube19_cluster0,cube28_cluster0
cube19_cluster0,cube28_cluster1
cube22_cluster0,cube23_cluster1
cube22_cluster1,cube23_cluster0
cube22_cluster1,cube32_cluster0
cube22_cluster1,cube33_cluster0
cube22_cluster2,cube23_cluster1
cube22_cluster2,cube32_cluster1
cube22_cluster2,cube33_cluster1
cube23_cluster0,cube24_cluster1
cube23_cluster0,cube32_cluster0
cube23_cluster0,cube33_cluster0
cube23_cluster1,cube24_cluster1
cube23_cluster1,cube24_cluster2
cube23_cluster1,cube32_cluster1
cube23_cluster1,cube33_cluster0
cube23_cluster1,cube33_cluster1
cube24_cluster0,cube25_cluster1
cube24_cluster1,cube25_cluster0
cube24_cluster1,cube25_cluster1
cube24_cluster1,cube25_cluster2
cube24_cluster2,cube25_cluster1
cube24_cluster2,cube34_cluster0
cube24_cluster2,cube34_cluster2
cube24_cluster2,cube35_cluster2
cube25_cluster0,cube26_cluster1
cube25_cluster1,cube26_cluster1
cube25_cluster1,cube26_cluster2
cube25_cluster1,cube34_cluster2
cube25_cluster1,cube35_cluster0
cube25_cluster1,cube35_cluster2
cube25_cluster1,cube36_cluster2
cube25_cluster2,cube26_cluster1
cube25_cluster2,cube35_cluster1
cube25_cluster2,cube36_cluster0
cube26_cluster0,cube27_cluster2
cube26_cluster0,cube36_cluster0
cube26_cluster0,cube37_cluster1
cube26_cluster1,cube27_cluster0
cube26_cluster1,cube27_cluster1
cube26_cluster1,cube35_cluster1
cube26_cluster1,cube36_cluster0
cube26_cluster2,cube27_cluster0
cube26_cluster2,cube27_cluster1
cube26_cluster2,cube35_cluster0
cube26_cluster2,cube36_cluster0
cube26_cluster2,cube36_cluster2
cube27_cluster0,cube37_cluster1
cube27_cluster1,cube28_cluster0
cube27_cluster1,cube37_cluster0
cube27_cluster2,cube36_cluster0
cube27_cluster2,cube37_cluster1
cube28_cluster0,cube38_cluster1
cube28_cluster1,cube38_cluster2
cube30_cluster0,cube40_cluster2
cube30_cluster0,cube41_cluster2
cube32_cluster0,cube33_cluster0
cube32_cluster1,cube33_cluster1
cube32_cluster1,cube43_cluster0
cube32_cluster2,cube33_cluster1
cube32_cluster2,cube43_cluster0
cube32_cluster2,cube44_cluster2
cube33_cluster0,cube34_cluster0
cube33_cluster0,cube34_cluster1
cube33_cluster0,cube44_cluster1
cube33_cluster0,cube45_cluster0
cube33_cluster0,cube45_cluster1
cube33_cluster1,cube34_cluster2
cube33_cluster1,cube43_cluster0
cube33_cluster1,cube44_cluster2
cube33_cluster2,cube34_cluster2
cube34_cluster0,cube35_cluster0
cube34_cluster0,cube35_cluster1
cube34_cluster0,cube44_cluster1
cube34_cluster0,cube45_cluster1
cube34_cluster0,cube46_cluster0
cube34_cluster1,cube35_cluster1
cube34_cluster1,cube44_cluster1
cube34_cluster1,cube45_cluster0
cube34_cluster1,cube45_cluster1
cube34_cluster1,cube45_cluster2
cube34_cluster2,cube35_cluster2
cube35_cluster0,cube36_cluster1
cube35_cluster0,cube36_cluster2
cube35_cluster0,cube46_cluster0
cube35_cluster0,cube47_cluster2
cube35_cluster1,cube36_cluster0
cube35_cluster1,cube36_cluster1
cube35_cluster1,cube36_cluster2
cube35_cluster1,cube45_cluster1
cube35_cluster1,cube46_cluster0
cube35_cluster2,cube36_cluster2
cube36_cluster0,cube37_cluster1
cube36_cluster1,cube46_cluster0
cube36_cluster1,cube47_cluster2
cube36_cluster2,cube37_cluster2
cube36_cluster2,cube47_cluster2
cube36_cluster2,cube48_cluster0
cube37_cluster1,cube48_cluster2
cube37_cluster2,cube47_cluster2
cube37_cluster2,cube48_cluster0
cube37_cluster2,cube48_cluster2
cube40_cluster0,cube41_cluster0
cube40_cluster2,cube41_cluster2
cube43_cluster0,cube44_cluster2
cube43_cluster1,cube44_cluster0
cube43_cluster1,cube44_cluster2
cube43_cluster1,cube53_cluster1
cube43_cluster1,cube54_cluster1
cube43_cluster2,cube44_cluster2
cube44_cluster0,cube45_cluster0
cube44_cluster0,cube45_cluster1
cube44_cluster0,cube53_cluster1
cube44_cluster0,cube54_cluster1
cube44_cluster0,cube54_cluster2
cube44_cluster0,cube55_cluster0
cube44_cluster1,cube45_cluster0
cube44_cluster1,cube45_cluster1
cube44_cluster1,cube45_cluster2
cube44_cluster1,cube54_cluster1
cube44_cluster1,cube55_cluster0
cube44_cluster2,cube54_cluster0
cube45_cluster0,cube54_cluster1
cube45_cluster0,cube55_cluster0
cube45_cluster1,cube46_cluster0
cube45_cluster1,cube54_cluster1
cube45_cluster1,cube54_cluster2
cube45_cluster1,cube55_cluster0
cube45_cluster2,cube46_cluster1
cube45_cluster2,cube55_cluster1
cube45_cluster2,cube55_cluster2
cube45_cluster2,cube56_cluster1
cube46_cluster0,cube47_cluster0
cube46_cluster0,cube47_cluster2
cube46_cluster0,cube56_cluster0
cube46_cluster1,cube47_cluster2
cube46_cluster1,cube55_cluster1
cube46_cluster1,cube56_cluster1
cube47_cluster0,cube48_cluster2
cube47_cluster0,cube57_cluster0
cube47_cluster0,cube57_cluster1
cube47_cluster0,cube58_cluster0
cube47_cluster1,cube48_cluster2
cube47_cluster2,cube48_cluster0
cube48_cluster1,cube58_cluster1
cube48_cluster2,cube57_cluster1
cube48_cluster2,cube58_cluster0
cube49_cluster0,cube59_cluster2
cube49_cluster1,cube50_cluster0
cube49_cluster1,cube59_cluster1
cube49_cluster1,cube60_cluster0
cube49_cluster2,cube50_cluster2
cube49_cluster2,cube59_cluster2
cube50_cluster0,cube59_cluster1
cube50_cluster0,cube60_cluster0
cube53_cluster1,cube54_cluster1
cube53_cluster1,cube54_cluster2
cube54_cluster0,cube65_cluster1
cube54_cluster1,cube55_cluster0
cube54_cluster1,cube55_cluster2
cube54_cluster1,cube65_cluster2
cube54_cluster1,cube66_cluster0
cube54_cluster2,cube55_cluster0
cube54_cluster2,cube65_cluster0
cube54_cluster2,cube65_cluster2
cube54_cluster2,cube66_cluster1
cube55_cluster0,cube65_cluster0
cube55_cluster0,cube66_cluster0
cube55_cluster0,cube66_cluster1
cube55_cluster1,cube56_cluster1
cube55_cluster1,cube66_cluster0
cube55_cluster1,cube66_cluster1
cube55_cluster1,cube67_cluster1
cube55_cluster1,cube67_cluster2
cube55_cluster2,cube56_cluster1
cube55_cluster2,cube65_cluster2
cube55_cluster2,cube66_cluster0
cube55_cluster2,cube66_cluster2
cube55_cluster2,cube67_cluster1
cube56_cluster1,cube66_cluster0
cube56_cluster1,cube66_cluster1
cube56_cluster1,cube66_cluster2
cube56_cluster1,cube67_cluster1
cube56_cluster1,cube67_cluster2
cube56_cluster2,cube57_cluster1
cube56_cluster2,cube57_cluster2
cube56_cluster2,cube67_cluster2
cube56_cluster2,cube68_cluster2
cube57_cluster1,cube58_cluster0
cube57_cluster1,cube67_cluster2
cube57_cluster1,cube68_cluster2
cube58_cluster0,cube59_cluster0
cube58_cluster0,cube59_cluster2
cube58_cluster0,cube69_cluster0
cube58_cluster0,cube70_cluster0
cube58_cluster0,cube70_cluster1
cube58_cluster2,cube59_cluster0
cube58_cluster2,cube59_cluster2
cube58_cluster2,cube69_cluster1
cube58_cluster2,cube69_cluster2
cube58_cluster2,cube70_cluster1
cube58_cluster2,cube70_cluster2
cube59_cluster0,cube69_cluster0
cube59_cluster0,cube69_cluster1
cube59_cluster0,cube70_cluster1
cube59_cluster1,cube60_cluster0
cube59_cluster2,cube69_cluster0
cube59_cluster2,cube69_cluster2
cube59_cluster2,cube70_cluster0
cube59_cluster2,cube70_cluster2
cube65_cluster0,cube66_cluster1
cube65_cluster2,cube66_cluster0
cube66_cluster0,cube67_cluster2
cube66_cluster0,cube76_cluster1
cube66_cluster1,cube67_cluster1
cube66_cluster1,cube67_cluster2
cube66_cluster1,cube76_cluster2
cube66_cluster1,cube77_cluster2
cube66_cluster2,cube67_cluster0
cube66_cluster2,cube67_cluster1
cube67_cluster1,cube77_cluster0
cube67_cluster2,cube68_cluster2
cube67_cluster2,cube76_cluster2
cube67_cluster2,cube77_cluster2
cube68_cluster0,cube78_cluster1
cube68_cluster2,cube78_cluster2
cube69_cluster0,cube70_cluster0
cube69_cluster0,cube70_cluster1
cube69_cluster1,cube70_cluster1
cube69_cluster2,cube70_cluster2
cube73_cluster0,cube74_cluster2
cube73_cluster0,cube86_cluster0
cube74_cluster0,cube75_cluster0
cube74_cluster1,cube75_cluster1
cube74_cluster2,cube86_cluster0
cube75_cluster2,cube76_cluster0
cube76_cluster1,cube77_cluster1
cube76_cluster1,cube89_cluster1
cube76_cluster2,cube77_cluster2
cube77_cluster1,cube78_cluster0
cube77_cluster1,cube89_cluster1
cube89_cluster0,cube96_cluster0
cube89_cluster0,cube96_cluster2
cube89_cluster2,cube96_cluster1
cube89_cluster2,cube97_cluster0
cube91_cluster0,cube98_cluster0
cube91_cluster1,cube98_cluster1
cube91_cluster2,cube97_cluster1
cube91_cluster2,cube98_cluster2
cube96_cluster1,cube97_cluster0
cube97_cluster1,cube98_cluster2
cube97_cluster2,cube98_cluster0
